,home_team,away_team,home_position,away_position,home_team_avg_goals,away_team_avg_goals,home_team_avg_conceded,away_team_avg_conceded,Over2.5
0,5,14,19,1,0.0,0.0,0.0,0.0,1
1,16,1,7,4,0.0,0.0,0.0,0.0,1
2,2,21,12,9,0.0,0.0,0.0,0.0,0
3,0,17,2,17,0.0,0.0,0.0,0.0,1
4,8,9,15,13,0.0,0.0,0.0,0.0,0
5,18,7,20,10,0.0,0.0,0.0,0.0,0
6,4,13,11,18,0.0,0.0,0.0,0.0,1
7,3,20,16,5,0.0,0.0,0.0,0.0,1
8,6,12,6,3,0.0,0.0,0.0,0.0,0
9,15,22,8,14,0.0,0.0,0.0,0.0,0
10,17,18,17,20,1.0,0.0,2.0,1.0,1
11,22,4,14,11,0.0,4.0,1.0,1.0,1
12,12,2,3,12,1.0,1.0,1.0,1.0,1
13,9,3,13,16,1.0,2.0,0.0,2.0,1
14,20,15,5,8,2.0,1.0,2.0,0.0,0
15,14,16,1,7,3.0,5.0,0.0,1.0,0
16,1,8,4,15,1.0,0.0,5.0,1.0,1
17,21,6,9,6,1.0,1.0,1.0,1.0,1
18,7,0,10,2,1.0,2.0,0.0,1.0,0
19,6,13,6,18,1.0,1.0,2.0,4.0,1
20,2,20,12,5,1.0,2.0,2.0,1.0,0
21,15,17,8,17,0.5,1.5,1.0,1.5,1
22,8,22,15,14,0.0,0.5,2.5,2.5,0
23,3,7,16,10,2.5,0.5,1.0,0.5,0
24,0,9,2,13,1.5,0.5,0.5,1.5,1
25,4,21,11,9,4.0,2.0,1.0,1.0,1
26,18,14,20,1,0.5,2.0,1.5,0.0,1
27,5,1,19,4,0.0,2.5,3.0,2.5,1
28,16,12,7,3,2.5,2.0,1.0,1.0,1
29,13,21,18,9,0.5,2.333333333333333,3.5,1.0,1
30,4,16,11,7,3.0,2.0,1.6666666666666667,1.3333333333333333,1
31,3,2,16,12,2.0,0.6666666666666666,1.0,2.0,1
32,18,8,20,15,0.6666666666666666,0.0,1.6666666666666667,2.0,1
33,6,17,6,17,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,0
34,14,9,1,13,2.0,1.0,0.3333333333333333,1.6666666666666667,1
35,5,20,19,5,0.5,2.0,3.0,0.6666666666666666,1
36,12,1,3,4,2.0,2.6666666666666665,1.0,2.0,1
37,7,22,10,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1
38,0,15,2,8,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1
39,16,3,7,16,1.75,2.0,1.75,1.25,0
40,9,13,13,18,1.0,0.6666666666666666,2.5,3.0,0
41,1,7,4,10,2.0,1.25,2.25,1.0,1
42,20,18,5,20,2.75,1.0,1.0,1.75,1
43,21,14,9,1,2.25,2.75,1.0,0.5,1
44,22,12,14,3,1.0,2.25,2.0,0.75,1
45,15,4,8,11,1.25,3.0,1.75,1.5,1
46,2,6,12,6,1.0,1.25,2.0,1.25,0
47,8,0,15,2,0.5,2.0,2.0,1.0,0
48,17,5,17,19,1.5,1.0,1.5,3.6666666666666665,0
49,14,17,1,17,2.8,1.4,0.6,1.4,0
50,13,22,18,14,0.5,1.0,2.5,2.2,0
51,7,9,10,13,1.2,1.0,1.4,2.0,0
52,3,8,16,15,1.6,0.4,1.2,1.8,1
53,5,15,19,8,1.0,1.2,3.0,2.0,0
54,0,20,2,5,1.8,2.6,0.8,1.0,1
55,18,16,20,7,1.0,1.6,1.8,1.4,1
56,6,1,6,4,1.0,2.2,1.0,2.0,0
57,4,2,11,12,3.0,0.8,1.4,1.6,1
58,12,21,3,9,2.4,2.0,0.8,1.4,1
